Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
39.547	8.357	2.100	2.016
39.598	8.357	2.100	2.018
39.648	8.357	2.100	2.020
39.698	8.357	2.100	2.016
39.748	8.357	2.100	2.018
39.798	8.357	2.100	2.009
39.847	8.357	2.100	2.015
39.897	8.357	2.100	2.004
39.947	8.357	2.100	2.003
39.997	8.357	2.100	2.008
40.047	8.357	2.100	2.010
40.097	8.357	2.100	2.005
40.147	8.357	2.100	2.005
40.197	8.357	2.100	2.016
40.247	8.357	2.100	2.006
40.297	8.357	2.100	2.002
40.347	8.357	2.100	2.005
40.398	8.357	2.100	2.011
40.447	8.357	2.100	2.013
40.497	8.357	2.100	2.003
40.548	8.357	2.100	2.005
40.598	8.357	2.100	2.015
40.647	8.357	2.100	2.004
40.698	8.357	2.100	2.002
40.748	8.357	2.100	2.016
40.797	8.357	2.100	2.018
40.847	8.357	2.100	2.020
40.897	8.357	2.100	2.017
40.947	8.357	2.100	2.015
40.998	8.357	2.100	2.018
41.047	8.357	2.100	2.017
41.097	8.357	2.100	2.016
41.148	8.357	2.100	2.013
41.198	8.357	2.100	2.006
41.248	8.357	2.100	2.006
41.298	8.357	2.100	2.008
41.349	8.357	2.100	2.012
41.399	8.357	2.100	2.015
41.449	8.357	2.100	2.020
41.500	8.357	2.100	2.020
41.550	8.357	2.100	2.021
41.600	8.357	2.100	2.021
41.650	8.357	2.100	2.019
41.701	8.357	2.100	2.019
41.751	8.357	2.100	2.021
41.801	8.357	2.100	2.019
41.851	8.357	2.100	2.019
41.902	8.357	2.100	2.018
41.952	8.357	2.100	2.023
42.002	8.357	2.100	2.018
42.053	8.357	2.100	2.020
42.103	8.357	2.100	2.020
42.153	8.357	2.100	2.018
42.203	8.357	2.100	2.017
42.254	8.357	2.100	2.019
42.303	8.357	2.100	2.019
42.353	8.357	2.100	2.019
42.404	8.357	2.100	2.018
42.454	8.357	2.100	2.020
42.504	8.357	2.100	2.019
42.554	8.357	2.100	2.019
42.605	8.357	2.100	2.019
42.655	8.357	2.100	2.019
42.705	8.357	2.100	2.018
42.756	8.357	2.100	2.018
42.806	8.357	2.100	2.018
42.856	8.357	2.100	2.018
42.906	8.357	2.100	2.018
42.957	8.357	2.100	2.017
43.007	8.357	2.100	2.018
43.057	8.357	2.100	2.015
43.107	8.357	2.100	2.018
43.158	8.357	2.100	2.019
43.208	8.357	2.100	2.019
